,concepts,definitions,source
0,Tecnología Big Data  ,"Big data se define como un concepto abstracto [1].  Los grandes volúmenes de  datos son una colección de conjuntos muy grandes de datos con una gran  diversidad de tipos, razón por la cual resulta difícil procesarlos mediante el uso  de métodos de procesamiento o plataformas de procesamiento de datos  tradicionales [2].",book3
1,Datos," Información que es parte elemental, que carecen de relevancia,  son datos que sin un fin, propósito o utilidad no son útiles.  Podemos poner  como ejemplo el nombre de una persona.",book3
2,Información," Es el conjunto de datos que han sido procesados y  ordenados para comprenderlos, teniendo relevancia y/o propósito,  dependiendo de la importancia de la información se pueden dar  soluciones y tomar decisiones.   ",book3
3,Conocimiento," Es la adquisición de información de valor, con la finalidad  de comprender por medio de la razón, teniendo como resultado procesos  de aprendizaje a través de la experiencia en donde se involucra la toma  de decisiones.              ",book3
4,Importancia de Big Data  ,"Con el desarrollo de la revolución tecnológica, miles y millones de personas  están generando grandes cantidades de datos mediante el uso de diversos  dispositivos; es decir, de manera conceptual Big Data hace referencia al gran  volumen de datos generados por la humanidad a través de diferentes  dispositivos; en donde, el procesamient o y análisis de estos datos son de gran  valor para la toma de decisiones de una organización [7].       Los datos se han convertido en algo muy importante y valioso para las empresas.",book3
5,Beneficios de Big Data  ,"Las nuevas tecnologías aplicadas a Big Data buscan aportar compe titividad a  las diferentes organizaciones, sean públicas o privadas, pues es la  competitividad la que permite que perduren en el tiempo y puedan alcanzar sus  objetivos [10].  Los datos al convertirse en información ayudan a tomar decisiones  referentes a la estrategia que algunas empresas, organizaciones o los gobiernos  implementan.",book3
6,Toma de decisiones," mediante la creación de sistemas con la capacidad  de procesar grandes volúmenes de datos estructurados, se facilita de  forma dinámica la interpretación de la información para las empresas u  organizaciones y de esta manera puedan tomar decisiones inteligentes.   ",book3
7,Respuesta en tiempo real," es el lado positivo y es uno de los beneficios  que ha generado que el funcionamiento de los sistemas se mantenga en  equilibrio, ya que esta tecnología no solo procesa y almacena información  ",book3
8,Reducción de costos de capital,"  Tener el conocimiento de los datos a  tratar, permite utilizar los datos que se tienen creando una reducción en el  software, hardware y otros costes de infraestructura, bridando así una  satisfacción en cuanto al uso y respuesta de las necesidades.   ",book3
9,Eficiencia operacional," Una reducción de los costes laborales debido a  los métodos más eficientes para la integración de datos, la gestión, el  análisis, y la entrega.   ",book3
10,Mejoras en los procesos de negocio,"  Un incremento en los ingresos o  ganancias debido a las nue vas o mejores maneras de hacer negocios,  incluyendo mejoras en las transacciones comerciales, la gestión  sostenible de las comunidades, y la distribución apropiada de los servicios  sociales, sanitarios, educativos y servicios [3].      ",book3
11,Características de Big Data  ,"Desde una perspectiva evolutiva, la generación de grande volumen de datos no  es algo nuevo.  El avance hacia Big Data es una continuación de la antigua  búsqueda de la humanidad para medir, registrar y analizar el mundo.",book3
12,Volumen ,En Big Data es la capacidad de procesar grandes cantidades de información y  es el principal atractivo de análisis de grandes volúmenes de datos [12].  El  volumen se analiza en términos de Bytes [13].,book3
13,Velocidad   ,"En Big Data la velocidad es una de las características principales , esta  tecnología se encarga de procesar y analizar de manera rápida con la finalidad  de extraer la información útil y más relevante.   La velocidad implica flujos de  datos, estructurada creación de los documentos, y la disponibilidad para el  acceso y la entr ega.",book3
14,Variedad   ,"Estos datos no tienen una estructura fija y rara vez se presentan en una forma  perfectamente ordenada y lista para su procesamiento [12].     La mayor velocidad de los datos normalmente se transmite directamente a la  memoria, en vez de escribirse en un disco .",book3
15,Características que se suman para formar las 5V  ,"Las tres V se encuentran en gran medida en diversas literaturas, sin embargo,  otros autores e institutos como IEEE toman en cuenta las características de Valor  y Veracidad, sumado así 5V.  Estas dos últimas surgen a raíz de las preguntas  ¿cuál es la veracidad de los datos y cuanto se puede confiar en ellos?; en la  realidad y hoy en día Big Data han tomado gran importancia e incluir estas  características cumplen con el propósito de ob tener información pertinente,  además de desarrollar una definición adecuada, la gran investigación de datos  también debe centrarse en cómo extraer su valor, cómo usar los datos, y como  transformar un conjunto de datos en grandes datos [1].",book3
