,concepts,definitions,source
0,Big Data ,"Es un concepto que hace referencia a un conjunto de procesos, tecnologías y modelos basados en el almacenamiento masivo de datos, procesamiento y transformación de los mismos en conocimiento, para anticipar lo que sucederá en un mundo complejo y con muchas interacciones",book1
1,Científico de Datos ,"Dentro de una organización, es el encargado de extraer conocimiento y valor de los datos, siendo capaz de descubrir relaciones ocultas y patrones entre los datos de diferentes líneas de acción o áreas funcionales; y tecnología, mediante el uso de herramientas avanzadas para el análisis de datos. Son profesionales altamente cualificados que se encargan de interpretar y responder a las nuevas estrategias desde el punto de vista tecnológico y a nalítico. Deben tener fuertes conocimientos de estadística, matemática e informática, Al mismo tiempo, deberán adaptarse de manera sencilla a los entornos necesarios para el desarrollo de los modelos.  ",book1
2,Community manager ,"Es la persona encargada de gestiona r, construir y moderar comunidades en torno a una marca en Internet",book1
3,Industria 4.0,Es la tendencia actual de automatización y el intercambio de datos dentro de las tecnologías de manufactura,book1
4,Inteligencia artificial ,"Es la inteligencia exhibida por máquinas. Una máquina inteligente ideal es un agente racional y flexible, que percibe su entorno y lleva a cabo acciones que maximicen sus posibilidades de éxito en algún objetivo o tarea. Coloquialmente, el término “inteligencia artificial ” se aplica cuando u na máquina imita las funciones “cognitivas”  que los humanos asocian con otras mentes humanas, como, por ejemplo: “aprender"" y ""resolver problemas"". ",book1
5,Fabricación aditiva ,"Es un proceso por el cual un archivo 3D es convertido en un objeto físico, mediante la adición capa por capa de material. Este material puede ser plástico, resina, metal, papel y muchos más. El término más comúnmente usado como sinónimo de “fabricación aditiva” es “impresión 3D”.  ",book1
6,Internet de las cosas ,"Es un concepto que se refiere a la interconexión digital de objetos cotidianos con Internet, convirtiéndose así en objetos inteligentes. ",book1
7,Realidad aumentada ,"Es el término que se usa para definir la visión de un entorno físico del mundo real,  a través de un dispositivo tecnológico. Este dispositivo o conjunto de dispositivos  añaden información virtual a la información física ya existente. De esta manera; los elementos físicos tangibles se combinan con elementos virtuales, creando así una realidad aumentada en tiempo real. La realidad aumentada es diferente de la realidad virtual: en la realidad aumentada el usuario percibe una mezcla de las dos realidades  (real y virtual",book1
8,Redes inteligentes,"Es aquella que puede integrar de forma eficiente el comportamiento y las acciones de todos los usuarios conectados a ella, de tal forma que se asegure un sistema energé tico sostenible y eficiente, con bajas pérdidas y altos niveles de calidad y seguridad de suministro",book1
9,Analítica predictiva,"Es una forma de análisis avanzado, que utiliza datos nuevos e históricos para predecir la actividad futura, comportamientos y las tendencias",book1
10,Data Lake o Lago de Datos,"Un Data Lake es un repositorio de almacenamiento que contiene gran cantidad de datos en bruto (estructurados, semi-estructurados y desestructurados)",book1
11,Detección de anomalías,"Es una tarea de vital importancia en muchos sectores, como pueden ser la seguridad, finanzas o la salud; y consiste en identificar cuándo ocurre un suceso o evento que no es habitual, con el fin de realizar una acción asociada",book1
12,Key Performance Indicator ,"También conocido como “indicador clave”, “medidor de desempeño” o “indicador clave de rendimiento”, es una medida del nivel del rendimiento de un proceso o producto concreto.  ",book1
13,Logs de navegación,Los logs son aquellos archivos que contienen el registro de toda la información refe rente la navegación del usuario,book1
14,Microsegmentación,"La microsegmentación es una técnica que co nsiste en dividir al público objetivo de un producto o servicio en partes lo más pequeñas posibles, partes casi únicas; es decir, en segmentos realmente muy, muy pequeños",book1
15,Motor de recomendación,"Producto de la tecnología y  de la necesidad de personalización de la oferta, nacen los “motores de r ecomendación”",book1
16,Algoritmo,"Conjunto de reglas que, aplicada sistemáticamente a unos datos de entrada apropiados, resuelven un problema en un numero finito de pasos elementales",book1
17,Red neuronal convolucional,Es un tipo de red neuronal artificial donde las neuronas corresponden a campos receptivos de una manera muy similar a las neuronas en la corteza visual primaria de un cerebro biológico,book1
18,Procesamiento del lenguaje natural,"Es un campo de las ciencias de la computación, inteligencia artificial y lingüística que estudia las interaccion es entre los computadores y el lenguaje humano",book1
19,Variable numérica,"Es una magnitud cuantificable que puede tomar distintos valores numéricos dentro de un conjunto de números especificado (por ejemplo, números naturales, como: 1,2,3, entre otros.)",book1
