,concepts,definitions,source
0,AMPLITUD DE UN INTERVALO," Conocido también como amplitud de clase, es la diferencia entre los dos extremos de un intervalo.",book4
1,BONDAD DE AJUSTE, Es un indicador que permite discernir acerca de qué tan buena es la ecuación obtenida.   Para determinar la bondad de un ajuste se utilizan diferentes criterios en la regresión lineal.,book4
2,BOXPLOT, (Ver diagrama de caja).  ,book4
3,CARTOGRAMAS, Es un tipo de gráfico mediante el cual se muestra datos estadísticos sobre una base geográfica como mapas.  ,book4
4,CENSO, Es una investigación estadística que consiste en el recuento de la totalidad de los elementos que componen la población por investigar.  Es necesario que se especifique  el espacio y el tiempo al que se refiere el recuento.,book4
5,CICLO, (Ver variaciones o fluctuaciones cíclicas).  ,book4
6,CLASE MEDIANA," En una tabla de datos agrupados, es la clase o intervalo al que pertenece el valor de la mediana.  ",book4
7,CLASE MODAL,"En una tabla de datos agrupados, es la clase o intervalo que tiene la mayor frecuencia.",book4
8,COEFICIENTE DE CONFIANZA, Se representa por (1-   ) y es la probabilidad de que la hipótesis nula Ho  no sea rechazada cuando de hecho es verdadera y debería ser aceptada.  ,book4
9,COEFICIENTE DE CONTINGENCIA Chi-Cuadrado,- Es un número que mide el grado de asociación o dependencia de las clasificaciones en una tabla de contingencia (h x k).,book4
10,COEFICIENTE DE CURTOSIS, Es una medida de forma  (Ver curtosis).,book4
11,COEFICIENTE DE GINI, (Ver índice de concentración de Gini).,book4
12,COMBINACIONES," Consiste en tomar diferentes agrupaciones de r elementos de un total de n objetos sin importar el orden, y el número de combinaciones se obtiene mediante la siguiente fórmula",book4
13,COMPONENTES DE UNA SERIE TEMPORAL,- Los datos de un fenómeno se representan ordenados en el tiempo (Ver series temporales) Según el enfoque clásico una serie es el resultado de cuatro componente,book4
14,CONGLOMERADO," Es una subpoblación que reúne características presentes en la población.  Los elementos que la componen poseen cierta característica que les hace ser propios de cierta cualidad o atributo, tal como lugar geográfico, grupo étnico, ideología, organización social, etc.",book4
15,CORRELOGRAMA," Es un gráfico que permite apreciar las autocorrelaciones  r 1 , r 2 ,. .",book4
16,COVARIANZA, Es una medida de la asociación lineal entre dos variables.,book4
17,CUARTIL," Es una medida de posición no central o de localización.  Los cuartiles son los tres valores que dividen la distribución en cuatro partes iguales, es decir",book4
18,CUASIVARIANZA, Es un valor que se obtiene de manera similar a la varianza pero dividiendo entre n-1 en lugar de n.  La cuasivarianza cuantifica la dispersión  o variabilidad de la muestra.,book4
19,CUESTIONARIO, Es el instrumento más utilizado para recolectar datos.,book4
20,CURTOSIS,Es una medida de forma.   También se conoce como medida de apuntamiento  mide si los valores de la distribución están más o menos concentrados alrededor de los valores medios de la muestra.,book4
21,CURVA DE LORENZ," Es una gráfica de  concentración acumulada de la distribución de la riqueza.   Para elaborar una curva de Lorenz, se anotan los porcentajes acumulados del ingreso contra los porcentajes acumulados de las familias clasificadas, de las de ingresos más bajos a las de ingresos más altos.",book4
22,CURVA NORMAL," También denominada curva o campana de Gauss, en honor al matemático alemán Karl Friedrich Gauss.",book4
23,DATO," Conocido también como información, es el valor de la variable asociada a un elemento de una población o una muestra.  ",book4
24,DATO CUALITATIVO," Es aquel que representa alguna característica de los elementos de una muestra o una población que  presentan, atributos, actitudes o son opiniones.",book4
25,DATO CUANTITATIVO, Es aquel dato numérico que representa aspectos de una muestra o una población que es medible o que se puede contar.  (Ver variable cualitativa).,book4
26,DATOS DE PANEL," Son aquellos datos que son una combinación de series de tiempo y datos de sección cruzada o corte transversal  que se obtienen sobre un mismo conjunto de unidades de análisis (individuos, familias o empresas) en distintos periodos de tiempo.  DATOS DE SECCIÓN CRUZADA O DE CORTE TRANSVERSAL.",book4
27,DECIL,"Es una medida de localización o posición no central.   Los deciles son los nueve puntos que dividen la distribución en diez puntos de forma tal que dentro de cada una, están incluidos el 10% de los datos.",book4
28,DEFLACTAR, Es transformar valores expresados en precios corrientes (valor nominal) a valores en precios constantes (valor real).,book4
29,DIAGRAMA," Es un dibujo o representación gráfica que sirve para representar un objeto, indicar la relación entre elementos o mostrar el valor de una magnitud.  ",book4
30,DIAGRAMA DE BARRAS, Es un gráfico utilizado para representar la distribución de frecuencias de una variable cualitativa y cuantitativa discreta.,book4
31,DIAGRAMA DE CAJAS, Conocido también como BOXPLOT.,book4
32,DIAGRAMA DE FLUJO, Es una representación gráfica de los pasos en un proceso.,book4
33,DIAGRAMA DE PARETO," Es una forma especial de gráfico de barras verticales donde se organizan diversas clasificaciones de datos por orden descendente, de izquierda a derecha,  por medio de barras sencillas después de haber reunido los datos para calificar las causas.",book4
34,DIAGRAMA DE SECTORES, Es un gráfico utilizado para representar la distribución de frecuencias relativas de una variable cualitativa.,book4
35,DIAGRAMA EN ESCALERA, Es un gráfico utilizado para representar la distribución de frecuencias acumuladas de una variable discreta numérica.,book4
36,ENCUESTA, Es un método de recolección de datos.   Es llevada a cabo generalmente a través de algún cuestionario que puede o no ser diligenciado por el encuestado y/o encuestador.,book4
37,ENTREVISTA," Es un método de recolección de datos.  Consiste en una serie de preguntas realizadas por el entrevistador,  personalmente, a cada uno de los entrevistados.",book4
38,ERROR DE MUESTREO," Conocido también como error muestral, es la diferencia que existe entre el valor real (parámetro) obtenido con los valores de la población y el valor estimado en base a los valores de una muestra (estimación).",book4
39,ERROR TIPO II,"En la teoría de decisiones, es el error que se comete al aceptar la hipótesis nula H 0 cuando es falsa.  
",book4
40,ESPACIO MUESTRAL," Es el conjunto de todos los resultados posibles de un experimento aleatorio.  Cada experimento aleatorio tiene definido su espacio muestral (es decir, un conjunto con todas las soluciones posibles).",book4
41,ESTACIONARIA," Es la serie de datos cuyas propiedades estadísticas básicas como la media y la varianza permanecen constantes en el tiempo, es decir cuando la serie no presenta crecimiento o declinación es estacionaria.",book4
42,ESTIMADOR, Es un estadístico empleado para estimar un parámetro.  ,book4
43,ESTIMADOR INSESGADO, Es un tipo de estimador que posee la propiedad de que el promedio de las estimaciones efectuadas a partir de todas las muestras posibles de un determinado tamaño es igual al valor verdadero o valor poblacional.  ESTRATIFICACIÓN.,book4
44,ESTRATO, Es una subpoblación o parte de una población que reúne características comunes que le hacen ser homogénea.,book4
45,EXACTITUD,Es la cercanía de una medición al verdadero valor que se pretende medir.  ,book4
46,EXPERIMENTO, Es un método de investigación mediante el cual se determina la incidencia de variables independientes sobre la variable dependiente.  ,book4
47,EXPERIMENTO ALEATORIO," Es cualquier acto que implique la observación de los valores de una variable aleatoria.   Es aquel que puede dar lugar a varios resultados, sin que pueda ser previsible enunciar con certeza cuál de éstos va a ser observado en la realización del experimento.",book4
48,FRECUENCIA ABSOLUTA,Es el número de veces que la variable asume un valor dado o pertenece a una clase dada.  Se representa simbólicamente por n i .,book4
49,FRECUENCIA ABSOLUTA ACUMULADA, Es el número de observaciones hasta (inclusive) un valor dado de una variable numérica.  Se representa por N i .,book4
50,FRECUENCIA CONDICIONAL," En una distribución conjunta, son las frecuencias de una de las variables estando fijo un valor de la  otra  variable.",book4
51,FRECUENCIA CONJUNTA," Es un número n ij que representa la ocurrencia de dos variables (x, y) en los elementos de población o de la muestra.  (Ver distribución bidimensional) ",book4
52,FRECUENCIA MARGINAL," En una distribución conjunta, son las frecuencias de cada una de las variables sin tener en cuenta el valor de la (s) otra (s).  ",book4
53,FRECUENCIA RELATIVA,Es un valor que se obtiene como el cociente de la frecuencia absoluta (n i ) sobre el tamaño de la muestra (N).  Simbólicamente se representa por hi.,book4
